,cluster_type,gender_of_household_head,gender_of_respondent,age,age_coded,Marital_status,Religion_respondent,region,agegroup,education,education_femhead,income_earners_hh,religiongp,numeracy,fin_literacy,bank_usage,mobile_money_usage,savings_usage,credit_usage,mobile,monthly_income,Household_size
0,Urban,Female,Female,21,16-30,Married/Living with partner,Christianity,Lower Eastern,18-25yrs,Secondary,Primary,One,Christianity,Medium,High,Never had,Never had,Currently have,Used to have,Yes,8000,3
1,Rural,Male,Female,56,46-60,Married/Living with partner,Christianity,Central Rift,>55yrs,Primary,Primary,Two,Christianity,Low,Low,Never had,Never had,Used to have,Currently have,No,2000,2
2,Rural,Male,Male,21,16-30,Single,Christianity,North Rift,18-25yrs,Primary,None,Two,Christianity,Low,Low,Never had,Never had,Never had,Never had,Yes,14000,8
3,Urban,Male,Female,35,31-45,Married/Living with partner,Islam,Upper Eastern,26-35yrs,None,None,None,Islam,Low,Low,Never had,Never had,Never had,Never had,No,32000,9
4,Rural,Female,Female,27,16-30,Married/Living with partner,Christianity,North Rift,26-35yrs,None,None,None,Christianity,Low,Low,Never had,Never had,Never had,Never had,No,500,2
5,Rural,Female,Female,70,61-75,Widowed,Islam,Upper Eastern,>55yrs,None,None,One,Islam,Low,Low,Never had,Never had,Never had,Never had,No,3000,3
6,Rural,Male,Female,16,16-30,Single,Christianity,Middle Eastern,16-17yrs,Primary,Primary,None,Christianity,High,Medium,Never had,Never had,Never had,Never had,No,100,9
7,Rural,Female,Male,30,16-30,Married/Living with partner,Islam,North Eastern,26-35yrs,None,None,None,Islam,Medium,Low,Never had,Never had,Never had,Never had,Yes,4000,6
8,Rural,Male,Male,21,16-30,Single,Christianity,Central Rift,18-25yrs,Primary,,Two,Christianity,High,High,Never had,Never had,Never had,Never had,Yes,2000,5
9,Urban,Male,Female,36,31-45,Married/Living with partner,Traditional African,Nyanza,36-45yrs,Primary,Primary,Two,Other/No Answer,Low,Medium,Never had,Used to have,Never had,Never had,No,37200,6
10,Rural,Male,Female,48,46-60,Married/Living with partner,Islam,Coast,46-55yrs,None,None,Three,Islam,Medium,Low,Never had,Never had,Used to have,Used to have,No,1000,6
11,Rural,Male,Female,30,16-30,Single,Christianity,Coast,26-35yrs,Secondary,Primary,One,Christianity,High,Medium,Never had,Never had,Never had,Never had,Yes,200,10
