"","gender_of_respondent","age","numeracy"
"1","Female",21,"Medium"
"2","Female",56,"Low"
"3","Male",21,"Low"
"4","Female",35,"Low"
"5","Female",27,"Low"
"6","Female",70,"Low"
"7","Female",16,"High"
"8","Male",30,"Medium"
"9","Male",21,"High"
"10","Female",36,"Low"
"11","Female",48,"Medium"
"12","Female",30,"High"
"13","Female",60,"Low"
"14","Male",16,"High"
"15","Male",17,"Low"
"16","Female",30,"Low"
"17","Female",64,"High"
"18","Female",39,"Low"
"19","Female",16,"High"
"20","Female",19,"High"
"21","Female",21,"Low"
"22","Female",90,"Low"
"23","Female",73,"Low"
"24","Female",45,"Low"
"25","Female",57,"Low"
"26","Male",16,"Medium"
"27","Male",18,"Low"
"28","Female",20,"High"
"29","Female",80,"Low"
"30","Female",45,"Medium"
"31","Male",80,"Low"
"32","Male",16,"High"
"33","Male",26,"Medium"
"34","Male",75,"Low"
"35","Female",74,"Low"
"36","Male",20,"Low"
"37","Female",18,"Low"
"38","Male",32,"Low"
"39","Female",32,"Medium"
"40","Female",18,"Low"
"41","Male",17,"Low"
"42","Female",65,"Low"
"43","Male",45,"High"
"44","Female",76,"Low"
"45","Female",16,"Medium"
"46","Male",23,"High"
"47","Female",20,"Medium"
"48","Male",56,"Low"
"49","Male",89,"Low"
"50","Female",17,"Medium"
"51","Female",20,"High"
"52","Female",19,"High"
"53","Male",27,"Medium"
"54","Female",50,"Medium"
"55","Female",38,"Low"
"56","Female",68,"Low"
"57","Female",16,"Medium"
"58","Female",20,"Low"
"59","Male",37,"Low"
"60","Female",20,"Low"
"61","Male",100,"Low"
"62","Female",25,"Low"
"63","Male",58,"Low"
"64","Female",90,"Low"
"65","Female",76,"Low"
"66","Male",50,"Low"
"67","Female",80,"Low"
"68","Female",63,"Medium"
"69","Female",60,"High"
"70","Female",22,"Low"
"71","Female",28,"Medium"
"72","Female",22,"Low"
"73","Male",18,"Low"
"74","Female",24,"Medium"
"75","Male",62,"Medium"
"76","Female",30,"Low"
"77","Female",21,"Medium"
"78","Female",67,"Low"
"79","Female",22,"High"
"80","Male",20,"Medium"
"81","Female",28,"Low"
"82","Female",85,"High"
"83","Female",35,"Low"
"84","Female",20,"Low"
"85","Male",17,"Low"
"86","Male",16,"High"
"87","Male",73,"Low"
"88","Female",16,"Medium"
"89","Female",30,"Low"
"90","Female",68,"Low"
"91","Female",30,"Low"
"92","Male",17,"High"
"93","Female",48,"Low"
"94","Female",45,"Low"
"95","Male",17,"Low"
"96","Male",30,"Low"
"97","Male",17,"High"
"98","Male",53,"High"
"99","Male",35,"Low"
"100","Female",25,"Low"
"101","Female",70,"Low"
"102","Male",45,"Medium"
"103","Female",24,"Low"
"104","Female",17,"Medium"
"105","Male",18,"Medium"
"106","Female",82,"Low"
"107","Male",60,"Medium"
"108","Female",19,"High"
"109","Female",55,"Low"
"110","Female",20,"High"
"111","Male",60,"Low"
"112","Male",22,"Low"
"113","Male",77,"Low"
"114","Female",28,"Low"
"115","Female",50,"Low"
"116","Female",16,"Medium"
"117","Female",38,"Low"
"118","Female",25,"Medium"
"119","Female",38,"Low"
"120","Female",17,"Low"
"121","Female",35,"Low"
"122","Male",35,"High"
"123","Female",16,"Medium"
"124","Male",35,"Low"
"125","Female",19,"Low"
"126","Female",27,"Low"
"127","Female",75,"Low"
"128","Male",18,"High"
"129","Female",42,"Low"
"130","Female",28,"Low"
"131","Female",20,"Medium"
"132","Female",23,"High"
"133","Male",30,"Medium"
"134","Female",22,"Low"
"135","Female",18,"Low"
"136","Female",16,"High"
"137","Male",65,"High"
"138","Male",18,"High"
"139","Female",19,"Low"
"140","Male",16,"Medium"
"141","Female",39,"Low"
"142","Female",18,"Medium"
"143","Female",17,"High"
"144","Female",17,"Medium"
"145","Female",19,"High"
"146","Female",21,"High"
"147","Male",70,"High"
"148","Female",65,"Low"
"149","Female",30,"Low"
"150","Female",16,"High"
"151","Female",25,"High"
"152","Female",20,"Low"
"153","Male",35,"High"
"154","Male",20,"Low"
"155","Female",30,"Medium"
"156","Male",35,"Medium"
"157","Male",31,"High"
"158","Male",39,"Low"
"159","Male",36,"Medium"
"160","Female",44,"Low"
"161","Male",65,"Low"
"162","Female",80,"Low"
"163","Male",35,"Medium"
"164","Male",24,"Low"
"165","Male",39,"Medium"
"166","Female",64,"Low"
"167","Female",16,"High"
"168","Male",45,"High"
"169","Female",70,"Low"
"170","Male",16,"High"
"171","Female",16,"High"
"172","Female",19,"Low"
"173","Male",17,"Medium"
"174","Female",70,"Low"
"175","Male",16,"High"
"176","Male",52,"Low"
"177","Male",23,"Medium"
"178","Female",16,"High"
"179","Female",66,"Low"
"180","Female",18,"Low"
"181","Male",20,"High"
"182","Female",65,"Low"
"183","Female",65,"Low"
"184","Female",45,"Low"
"185","Male",25,"Medium"
"186","Male",50,"Low"
"187","Male",23,"High"
"188","Female",18,"Medium"
"189","Female",16,"Medium"
"190","Female",35,"High"
"191","Female",40,"Low"
"192","Female",43,"Low"
"193","Female",92,"Low"
"194","Female",23,"Low"
"195","Female",32,"Medium"
"196","Female",33,"Low"
"197","Male",85,"Low"
"198","Female",28,"Low"
"199","Female",20,"Low"
"200","Female",24,"Medium"
"201","Female",20,"Medium"
"202","Male",18,"Low"
"203","Female",35,"High"
"204","Female",17,"Low"
"205","Female",29,"Low"
"206","Male",22,"Low"
"207","Female",16,"High"
"208","Male",20,"Medium"
"209","Female",20,"Medium"
"210","Female",65,"Low"
"211","Female",16,"Low"
"212","Female",67,"Low"
"213","Female",70,"Low"
"214","Male",58,"Low"
"215","Male",46,"Low"
"216","Male",70,"Low"
"217","Female",34,"Medium"
"218","Male",39,"Medium"
"219","Male",17,"Low"
"220","Female",26,"Low"
"221","Female",35,"Low"
"222","Male",20,"High"
"223","Female",21,"Low"
"224","Female",37,"Medium"
"225","Female",57,"Low"
"226","Female",45,"High"
"227","Male",78,"Low"
"228","Female",17,"Low"
"229","Male",16,"High"
"230","Female",20,"Low"
"231","Female",16,"Low"
"232","Male",29,"Medium"
"233","Male",53,"Medium"
"234","Female",25,"Low"
"235","Female",18,"Low"
"236","Male",43,"High"
"237","Female",20,"Medium"
"238","Female",16,"Medium"
"239","Male",27,"Low"
"240","Female",29,"Low"
"241","Female",22,"Low"
"242","Female",28,"Low"
"243","Female",31,"High"
"244","Female",29,"Low"
"245","Female",30,"Medium"
"246","Female",19,"Medium"
"247","Female",28,"Low"
"248","Female",61,"Low"
"249","Female",70,"Low"
"250","Male",17,"Low"
"251","Female",31,"Low"
"252","Male",26,"Low"
"253","Female",45,"Low"
"254","Female",45,"Medium"
"255","Male",18,"Medium"
"256","Female",35,"Low"
"257","Male",20,"High"
"258","Male",19,"Medium"
"259","Female",35,"High"
"260","Male",36,"High"
"261","Female",21,"Low"
"262","Female",41,"Low"
"263","Female",40,"Low"
"264","Male",42,"Medium"
"265","Female",25,"Low"
"266","Female",84,"Low"
"267","Female",48,"Low"
"268","Male",72,"Low"
"269","Male",40,"Low"
"270","Female",60,"Low"
"271","Male",21,"Medium"
"272","Female",35,"Low"
"273","Female",35,"High"
"274","Female",20,"Low"
"275","Female",49,"Low"
"276","Male",27,"Low"
"277","Female",20,"Medium"
"278","Female",25,"Low"
"279","Female",71,"Low"
"280","Female",35,"Low"
"281","Male",18,"Low"
"282","Male",40,"Low"
"283","Male",100,"Low"
"284","Female",16,"Medium"
"285","Female",60,"Low"
"286","Female",20,"Low"
"287","Female",17,"Low"
"288","Female",27,"Low"
"289","Male",50,"Medium"
"290","Female",50,"Low"
"291","Female",36,"Low"
"292","Male",28,"Low"
